aa;	214427;18
aircraft;	214427;42
aircraft;	7611264;6
aircraft;	13879359;4
aircraft;	710065;2
airfield;	13879359;2
airplay;	13286072;6
airtight;	850236;2
ajax;	2289;8
akt;	82432;2
aktobe;	2289;2
alan;	7801357;2
albert;	850236;2
albums;	13286072;14
aldosterone;	10996774;30
alemannia;	2289;2
alex;	13286072;2
alex;	2300502;2
alexis;	2300502;36
alfred;	1905157;2
alfred;	3558046;2
algebra;	7611264;2
algorithms;	214427;2
alias;	13286072;2
alias;	2300502;2
alice;	13286072;2
alkmaarderhout;	2289;4
allan;	10996774;2
allan;	2300502;2
alleged;	1905157;2
allen;	1905157;2
allies;	214427;2
allies;	11025703;2
allison;	82432;2
allowed;	710065;6
allowed;	203434;6
allowed;	7801357;2
allowed;	13286072;2
allowed;	1905157;2
allowed;	11025703;2
allows;	7801357;2
almelo;	2289;4
almost;	13286072;6
almost;	1905157;6
almost;	82432;4
almost;	850236;2
almost;	13879359;2
almost;	710065;2
alof;	1905157;8
already;	13879359;2
already;	710065;2
already;	203434;2
already;	1905157;2
already;	2289;2
already;	82432;2
altar;	1905157;2
altarpiece;	1905157;2
alte;	3558046;2
alterations;	82432;2
alternatively;	7003;2
alternatively;	82432;2
although;	203434;10
although;	82432;6
although;	13286072;4
although;	1905157;4
although;	10996774;2
although;	850236;2
although;	214427;2
although;	710065;2
although;	7611264;2
altidore;	2289;2
altitude;	214427;2
am;	13286072;2
amato;	82432;2
amazon;	82432;6
ambient;	850236;4
ambient;	13286072;2
ambiguous;	1905157;2
ambush;	710065;4
amended;	1905157;2
america;	82432;20
america;	203434;2
american;	82432;24
american;	9536040;18
american;	710065;16
american;	7003;14
american;	203434;10
american;	214427;6
american;	13286072;4
american;	13879359;4
american;	11025703;2
amerighi;	1905157;10
amino;	10996774;4
amis;	9536040;2
aml;	13879359;2
among;	1905157;10
among;	82432;6
among;	2300502;4
among;	7611264;4
among;	7003;2
among;	13286072;2
among;	13879359;2
among;	2289;2
among;	11025703;2
amount;	11025703;2
amx;	214427;2
amx;	11025703;2
amz;	13879359;2
anal;	82432;2
analog;	7611264;6
analogue;	7003;2
analysis;	7611264;8
analysis;	82432;2
anatomic;	10996774;6
ancient;	203434;28
ancient;	7611264;2
ancient;	82432;2
andre;	1905157;2
andre;	82432;2
andrews;	82432;2
andries;	1905157;2
androgen;	10996774;2
androstenedione;	10996774;4
andy;	13286072;2
anecdotes;	1905157;2
angels;	1905157;8
angels;	13286072;4
angiotensinogen;	10996774;2
angular;	7003;2
angular;	850236;2
animal;	82432;12
anne;	1905157;4
anness;	710065;2
annibale;	1905157;2
anniversary;	82432;4
anno;	1905157;2
annually;	82432;2
anterior;	10996774;2
anthems;	13286072;2
anthracnose;	1905157;2
anthrax;	9536040;2
anti;	710065;68
anti;	214427;36
anti;	11025703;10
anti;	82432;8
anti;	13879359;2
antica;	1905157;2
antiparasitic;	82432;10
antitank;	710065;2
any;	710065;8
any;	7003;6
any;	203434;6
any;	1905157;6
any;	7611264;6
any;	13286072;4
any;	13879359;2
any;	850236;2
anyhow;	203434;2
anyone;	203434;2
anything;	710065;2
ao;	82432;2
aortic;	82432;4
apache;	710065;2
apartheid;	82432;4
apartment;	1905157;2
apparently;	13286072;2
apparently;	1905157;2
appearance;	13879359;4
appearance;	13286072;2
appearance;	710065;2
appeared;	13286072;2
appeared;	13879359;2
appeared;	7611264;2
appears;	1905157;6
appears;	203434;2
appears;	11025703;2
appendices;	1905157;2
appetite;	82432;2
application;	1905157;2
application;	82432;2
application;	7611264;2
applies;	7611264;2
appointed;	82432;4
appreciated;	10996774;2
appreciated;	1905157;2
apprenticeships;	203434;2
apprenticeships;	3558046;2
approach;	1905157;4
approach;	10996774;2
approach;	13286072;2
approaches;	82432;2
approves;	82432;2
approximate;	7003;2
approximations;	7611264;2
april;	13286072;12
april;	7801357;8
april;	2300502;4
april;	82432;4
april;	710065;2
april;	1905157;2
arab;	203434;4
aramaic;	9092818;2
aratori;	1905157;2
arc;	13879359;2
arch;	82432;2
archibald;	13879359;2
architects;	7801357;2
archive;	82432;2
arctic;	194203;2
are;	82432;60
are;	7003;46
are;	10996774;40
are;	7611264;34
are;	850236;32
are;	13879359;24
are;	1905157;20
are;	203434;14
are;	710065;14
are;	3558046;10
are;	7801357;4
are;	214427;4
are;	13286072;2
are;	2300502;2
are;	11025703;2
areas;	82432;18
areas;	13879359;2
areas;	1905157;2
areas;	2289;2
areas;	7611264;2
argue;	1905157;2
argued;	203434;2
arhat;	8066546;2
aristocracy;	3558046;2
arithmetic;	7003;2
arm;	13286072;2
arm;	13879359;2
arm;	710065;2
arm;	11025703;2
armadillos;	82432;6
armee;	710065;2
armored;	13879359;82
armored;	710065;36
armored;	11025703;12
armored;	214427;2
armour;	710065;4
armour;	13879359;2
armour;	1905157;2
armour;	11025703;2
armys;	13879359;2
arnold;	7611264;2
arnott;	13286072;4
arranged;	710065;2
arrangement;	7801357;4
arrangement;	13286072;2
arrested;	1905157;2
arrogant;	82432;2
arrows;	1905157;2
arsenal;	2289;2
arte;	1905157;4
arterioles;	10996774;2
arthritis;	82432;4
arthur;	850236;2
article;	82432;4
article;	710065;2
artificial;	7801357;2
artificial;	850236;2
artificial;	1905157;2
artificial;	82432;2
artificial;	7611264;2
artillery;	710065;12
artillery;	214427;8
artillery;	11025703;4
artists;	1905157;24
artists;	13286072;6
artists;	3558046;4
artists;	2300502;2
arts;	1905157;4
arts;	3558046;4
arup;	7801357;2
arveladze;	2289;2
as;	1905157;126
as;	82432;98
as;	203434;86
as;	13286072;58
as;	710065;58
as;	7003;42
as;	7611264;40
as;	2300502;30
as;	850236;28
as;	13879359;28
as;	10996774;24
as;	3558046;22
as;	11025703;22
as;	2289;20
as;	7801357;16
as;	214427;12
ascanio;	1905157;2
ascending;	1905157;2
asia;	7801357;10
asia;	13286072;2
aside;	203434;2
asked;	2300502;2
asleep;	13286072;2
aspect;	13286072;2
aspect;	7611264;2
assaults;	203434;4
assays;	82432;4
assert;	1905157;2
assess;	203434;2
assigned;	710065;4
assisi;	1905157;4
assistance;	1905157;2
assisted;	850236;2
assisted;	214427;2
assisted;	3558046;2
assisted;	82432;2
associate;	3558046;2
associate;	82432;2
associated;	7003;2
assume;	7801357;2
assumed;	1905157;4
assumed;	7611264;2
assures;	203434;2
asthma;	82432;6
asymmetric;	850236;2
athenian;	203434;2
atlantic;	2300502;2
atoms;	7003;2
attached;	7801357;2
attack;	9536040;2
attack;	13286072;2
attack;	13879359;2
attack;	710065;2
attack;	82432;2
attack;	11025703;2
attacking;	710065;4
attacking;	13879359;2
attacking;	11025703;2
attempted;	13286072;4
attempthtml;	1905157;2
attempts;	850236;2
attempts;	710065;2
attempts;	203434;2
attempts;	82432;2
attending;	3558046;2
attending;	82432;2
attention;	3558046;4
attention;	203434;2
attention;	1905157;2
attention;	7611264;2
attention;	82432;2
attitude;	203434;2
attracted;	13286072;4
attracted;	2300502;2
attracted;	1905157;2
attracted;	11025703;2
attributed;	1905157;2
attributed;	82432;2
attributed;	7611264;2
au;	82432;2
audience;	3558046;2
audio;	2300502;2
auguste;	3558046;2
augustin;	7003;4
austin;	850236;2
australia;	13286072;8
australia;	214427;2
australian;	13286072;54
autobiographical;	203434;2
autobiographies;	82432;4
autobiography;	82432;2
autocannon;	13879359;2
autocars;	13879359;2
autocrine;	10996774;2
autoimmune;	10996774;2
automata;	7611264;4
automated;	7611264;6
autoregressive;	7003;2
avenger;	214427;2
avenger;	710065;2
avenue;	9536040;2
avre;	11025703;2
avvisi;	1905157;2
avviso;	1905157;4
awarded;	82432;2
awards;	13286072;10
awards;	1905157;2
awards;	82432;2
away;	2289;8
away;	1905157;4
away;	850236;2
axled;	13879359;2
azs;	2289;10
b;	203434;12
b;	82432;6
b;	10996774;4
b;	7003;4
b;	13286072;4
b;	850236;2
b;	214427;2
b;	3558046;2
baby;	13286072;6
background;	13286072;2
background;	2300502;2
background;	7611264;2
backwards;	850236;4
badly;	13286072;2
badly;	1905157;2
badly;	2289;2
bagliones;	1905157;4
balance;	850236;2
balanced;	3558046;2
baldry;	2300502;2
balefully;	1905157;2
ballad;	13286072;2
bands;	13286072;16
bands;	2300502;4
bani;	203434;6
bank;	2289;4
bank;	82432;4
bank;	7801357;2
bank;	3558046;2
banned;	203434;2
baptism;	1905157;2
baptiste;	3558046;32
baptists;	1905157;4
barbeiro;	82432;2
barber;	2300502;2
barber;	82432;2
barbosa;	82432;4
bare;	1905157;6
barking;	13286072;2
barnard;	82432;70
barrel;	710065;4
barrelhouse;	2300502;2
barren;	203434;2
barrett;	10996774;2
barry;	2289;2
bartholomeu;	82432;2
bartolomeo;	1905157;2
basharat;	203434;4
basic;	1905157;4
basic;	7611264;2
basilica;	1905157;2
basis;	13286072;4
basis;	10996774;2
basket;	1905157;12
bassiana;	82432;2
batchens;	13286072;6
bate;	2289;2
bathtub;	13286072;2
battalion;	710065;8
battalion;	11025703;2
battista;	1905157;2
battle;	710065;10
battle;	13879359;6
battle;	203434;4
battle;	11025703;2
battlefield;	710065;2
baumit;	2289;2
bb;	2300502;4
bbcs;	2300502;2
beagle;	82432;2
beams;	7801357;6
bear;	710065;6
bear;	203434;2
beat;	2300502;2
beating;	82432;2
beatles;	2300502;2
beaufort;	82432;12
beautifully;	3558046;2
beauty;	1905157;4
beauveria;	82432;4
because;	82432;18
because;	7003;8
because;	850236;8
because;	13286072;6
because;	1905157;6
because;	10996774;4
because;	7801357;4
because;	7611264;4
because;	13879359;2
because;	710065;2
because;	203434;2
because;	2289;2
becomes;	850236;4
becomes;	82432;2
becoming;	1905157;2
becoming;	2289;2
becoming;	82432;2
beef;	710065;2
been;	1905157;38
been;	82432;34
been;	13286072;12
been;	850236;10
been;	2289;8
been;	203434;8
been;	710065;8
been;	2300502;6
been;	214427;6
been;	3558046;4
been;	7611264;4
been;	7003;2
been;	13879359;2
been;	10996774;2
begins;	850236;2
begins;	1905157;2
begins;	2289;2
behalf;	3558046;2
behaves;	850236;2
behavior;	1905157;4
behavior;	7611264;2
behind;	7801357;2
belgian;	13879359;6
believe;	203434;4
believed;	203434;2
believed;	1905157;2
bello;	82432;2
belloris;	1905157;4
belmonte;	82432;2
belonged;	203434;2
belongs;	7003;2
beneficial;	82432;2
bennett;	7611264;4
berenson;	1905157;4
berg;	2289;2
berlin;	1905157;2
bernard;	1905157;2
berne;	1905157;2
beside;	13286072;4
best;	710065;6
best;	13286072;4
best;	2300502;2
best;	82432;2
beta;	10996774;2
better;	850236;6
better;	7801357;4
better;	710065;4
better;	7003;2
better;	13286072;2
better;	2300502;2
better;	13879359;2
better;	2289;2
between;	203434;16
between;	850236;6
between;	82432;6
between;	1905157;4
between;	7611264;4
between;	10996774;2
between;	9536040;2
between;	7003;2
between;	13286072;2
between;	2300502;2
between;	13879359;2
between;	11025703;2
bgm;	710065;2
bible;	203434;4
biblical;	203434;2
big;	13286072;2
big;	2300502;2
biggs;	850236;2
biho;	214427;2
billy;	13286072;2
bio;	2300502;2
bio;	82432;2
biographers;	1905157;2
biol;	82432;2
biophys;	10996774;2
biosynthesis;	10996774;2
biovigilance;	82432;4
birch;	214427;2
birds;	82432;2
bite;	82432;10
bitten;	1905157;4
bitten;	82432;2
bl;	82432;2
blackfeather;	13286072;4
blade;	1905157;2
blaiberg;	82432;2
blandford;	710065;2
blasko;	13286072;2
bleeding;	10996774;2
blight;	13286072;6
blink;	1905157;2
blinking;	7801357;2
blocks;	850236;2
blood;	82432;48
blood;	10996774;6
blood;	1905157;2
bloodstream;	82432;2
bloomsbury;	2300502;2
blowing;	2300502;2
blowing;	3558046;2
blue;	372693;2
blurred;	11025703;2
board;	2289;4
boat;	1905157;2
bobby;	13286072;2
bodies;	1905157;2
body;	850236;6
body;	82432;4
body;	7801357;2
body;	1905157;2
bolivia;	82432;2
bolognese;	1905157;2
bombing;	1905157;2
bondholders;	9536040;2
bone;	82432;2
books;	2300502;2
books;	13879359;2
books;	203434;2
books;	82432;2
bootleg;	2300502;2
borgheses;	1905157;2
borne;	82432;2
bornstein;	10996774;10
bottle;	13286072;4
boundary;	7801357;2
bow;	1905157;2
bowl;	13286072;2
boxy;	710065;2
boy;	1905157;10
boy;	3558046;4
bp;	82432;2
bradford;	2300502;4
brain;	82432;6
brain;	13286072;2
brain;	2300502;2
branch;	1905157;2
braque;	3558046;2
bras;	82432;2
brasiliensis;	82432;4
brasseys;	710065;2
brawl;	1905157;12
brawling;	1905157;2
brazil;	82432;22
brazilian;	82432;10
breaks;	13286072;4
breda;	2289;2
breed;	82432;2
brener;	82432;2
brian;	2300502;2
bridegroom;	203434;2
bridges;	7801357;2
brief;	1905157;4
brief;	7801357;2
brief;	13286072;2
brief;	203434;2
briefing;	7801357;2
brigade;	13879359;10
brigands;	13879359;2
bring;	710065;4
bring;	203434;2
bringing;	2300502;2
broadcaster;	2300502;2
bros;	2300502;6
bros;	13879359;2
brother;	82432;8
brother;	1905157;6
brother;	13286072;2
brown;	10996774;2
brown;	82432;2
browning;	214427;2
brugghen;	1905157;2
brush;	1905157;2
brutinels;	13879359;2
bryan;	710065;2
bubonic;	82432;2
buffy;	82432;2
bug;	82432;6
build;	7801357;2
build;	710065;2
building;	7801357;34
building;	9536040;2
building;	850236;2
building;	7611264;2
built;	710065;28
built;	11025703;12
built;	7801357;2
built;	2300502;2
built;	850236;2
built;	13879359;2
built;	1905157;2
bukhari;	203434;2
bulbs;	850236;2
bunkers;	11025703;2
burden;	82432;2
burlington;	1905157;4
burrell;	2300502;2
burst;	1905157;2
burton;	1905157;2
bush;	203434;2
business;	2300502;2
businessman;	2289;2
buyers;	1905157;2
ca;	3558046;2
cabinetmaker;	3558046;2
calcium;	10996774;4
calculate;	7003;2
california;	850236;2
callahan;	1905157;2
calling;	1905157;18
camargo;	82432;2
came;	1905157;8
came;	710065;6
came;	9536040;4
came;	13286072;4
came;	203434;4
came;	7801357;2
came;	2300502;2
came;	3558046;2
came;	82432;2
camilleri;	13286072;6
campaign;	82432;6
campaign;	13879359;2
campaign;	710065;2
can;	82432;36
can;	7611264;24
can;	10996774;20
can;	7003;16
can;	850236;16
can;	1905157;8
can;	710065;6
can;	7801357;4
can;	13879359;4
can;	203434;2
canada;	214427;2
canada;	3558046;2
cancel;	850236;2
cancer;	10996774;2
cancer;	2300502;2
cannone;	214427;2
canonical;	7003;2
canvas;	1905157;10
canvas;	3558046;2
canvases;	1905157;2
capabilities;	13879359;4
capabilities;	710065;4
capabilities;	11025703;2
capability;	710065;6
capability;	13879359;2
capability;	214427;2
capability;	11025703;2
capable;	710065;6
capable;	13879359;2
capable;	214427;2
capacity;	2289;10
capacity;	13879359;2
capacity;	82432;2
capital;	203434;4
capital;	7801357;2
capital;	1905157;2
caption;	82432;4
caption;	10996774;2
caption;	13286072;2
caption;	2300502;2
caption;	1905157;2
captured;	710065;2
car;	13879359;36
car;	710065;8
car;	214427;2
car;	11025703;2
caracas;	82432;2
caracciolo;	1905157;2
carafa;	1905157;2
caravaggino;	1905157;2
caravaggio;	1905157;212
card;	1905157;2
cardinal;	1905157;12
cardiol;	82432;6
carducci;	1905157;2
career;	13286072;10
career;	2300502;6
career;	1905157;4
career;	82432;2
careful;	7801357;2
cargo;	214427;2
carlos;	82432;2
carmelite;	1905157;2
carmen;	203434;2
carracci;	1905157;4
carriage;	710065;10
carriage;	13879359;2
carried;	7611264;8
carried;	10996774;2
carried;	7801357;2
carried;	214427;2
carried;	710065;2
carrier;	710065;6
carrier;	11025703;2
cartier;	10996774;2
casa;	1905157;4
case;	7003;10
case;	1905157;6
case;	850236;4
case;	203434;2
case;	710065;2
case;	82432;2
castration;	1905157;4
catecholamines;	10996774;8
category;	11025703;4
category;	1905157;2
catfish;	13286072;6
cathode;	850236;2
catholics;	203434;2
caught;	203434;2
caught;	1905157;2
causes;	850236;8
causes;	82432;6
causes;	10996774;2
causes;	7801357;2
causing;	850236;2
caustic;	13286072;2
cautocsd;	7611264;2
cautod;	7611264;2
cavalry;	13879359;2
cazes;	3558046;2
cc;	82432;2
cdna;	10996774;2
ce;	10996774;2
ceases;	1905157;2
cees;	2289;2
cell;	82432;16
cell;	10996774;6
cellular;	82432;2
cent;	13286072;2
centers;	82432;4
centres;	7801357;2
centrifugal;	7611264;4
centuries;	1905157;4
centuries;	7611264;4
century;	1905157;20
century;	3558046;10
century;	13286072;8
century;	203434;8
century;	7611264;4
century;	82432;4
century;	13879359;2
ceremony;	13286072;2
ceres;	82432;4
certain;	10996774;4
certain;	850236;2
certain;	203434;2
certain;	82432;2
certifying;	203434;2
cg;	10996774;2
chaffee;	710065;2
chaim;	3558046;2
chamber;	850236;2
chamber;	203434;2
chamber;	1905157;2
champions;	2289;24
champlin;	1905157;2
chance;	82432;2
change;	13879359;4
change;	7801357;2
change;	203434;2
change;	1905157;2
change;	82432;2
changed;	13286072;4
changed;	203434;2
changed;	1905157;2
changed;	2289;2
channels;	10996774;6
channels;	203434;2
chapelhtml;	1905157;2
char;	7003;2
characteristics;	7611264;6
characteristics;	10996774;2
characters;	13286072;2
chardins;	3558046;12
charge;	710065;2
charge;	2289;2
charge;	82432;2
charioteer;	710065;2
charisma;	2300502;2
charles;	1905157;8
charles;	82432;4
charley;	13286072;4
charlie;	2300502;4
charlie;	13286072;2
chart;	13286072;14
chart;	2300502;2
chase;	9536040;2
chassis;	710065;34
chassis;	214427;10
chassis;	11025703;6
chassis;	13879359;4
chatwell;	13879359;2
che;	1905157;2
cheaper;	710065;2
cheaper;	11025703;2
cheated;	1905157;2
cheats;	1905157;2
chejade;	82432;2
chemical;	7611264;12
chemical;	850236;4
chemotherapeutic;	82432;2
chester;	203434;2
chi;	203434;2
chiaroscuro;	1905157;8
chicago;	2300502;2
chiefly;	10996774;4
child;	1905157;4
child;	13286072;2
childbearing;	203434;2
childhood;	2300502;2
childrens;	2300502;2
childrens;	3558046;2
chinche;	82432;2
chisel;	13286072;108
choirs;	1905157;2
choromanski;	82432;2
chorus;	13286072;2
chose;	13286072;2
chose;	3558046;2
chosen;	13286072;2
chosen;	203434;2
christiaan;	82432;18
christians;	203434;2
chronic;	82432;48
chronic;	11025703;2
chronically;	82432;8
chronology;	1905157;2
chun;	7801357;2
churchill;	710065;4
churchill;	11025703;4
churchs;	1905157;2
ciclo;	82432;2
cienc;	82432;2
cinaedus;	203434;2
circa;	1905157;4
circa;	203434;2
circa;	7611264;2
circle;	1905157;8
circle;	7003;4
circuits;	7611264;4
circumstances;	1905157;6
circumstances;	3558046;2
cistern;	3558046;2
cit;	1905157;4
citic;	7801357;2
citys;	13286072;2
clad;	1905157;4
cladding;	7801357;2
claes;	1905157;2
clapp;	203434;2
class;	13286072;4
class;	203434;4
class;	3558046;2
classic;	7611264;2
classification;	3558046;2
cleaner;	7611264;4
clement;	1905157;2
cler;	2289;2
clin;	10996774;4
clinique;	82432;2
clock;	7611264;4
clock;	7801357;2
close;	1905157;4
close;	11025703;4
close;	13879359;2
closed;	7003;6
closed;	850236;2
closer;	850236;2
closer;	1905157;2
clot;	82432;2
clothes;	1905157;2
clouds;	1905157;2
club;	2289;28
club;	2300502;6
clumps;	82432;2
cm;	710065;10
cm;	82432;2
cm;	11025703;2
co;	7801357;2
co;	13286072;2
co;	850236;2
co;	2289;2
co;	82432;2
coated;	850236;4
coauthors;	13879359;2
cockerill;	13879359;2
cockers;	2300502;2
cocu;	2289;2
coculture;	10996774;2
coefficients;	7003;2
col;	13879359;2
cold;	13286072;68
cold;	850236;4
collaborate;	2300502;2
collaborated;	13286072;2
collapsible;	2289;4
colleagues;	82432;2
collecting;	10996774;4
collection;	1905157;4
collection;	13286072;2
collective;	2300502;2
collective;	214427;2
collective;	710065;2
collectors;	2300502;2
collins;	2300502;4
colombia;	82432;4
colonies;	203434;6
colonies;	82432;2
colonna;	1905157;12
colony;	203434;2
colors;	850236;2
colors;	3558046;2
columbia;	2300502;2
columbia;	7611264;2
column;	7801357;2
combat;	13879359;10
combat;	214427;4
combat;	710065;4
combat;	11025703;2
combatants;	710065;2
combines;	710065;2
combining;	850236;2
come;	13286072;4
come;	850236;2
come;	1905157;2
come;	3558046;2
come;	7611264;2
comet;	710065;4
comfort;	7801357;2
commanded;	203434;2
commentators;	203434;2
commented;	3558046;2
comments;	1905157;2
commercial;	7801357;4
commercial;	13286072;4
commercial;	2300502;2
commissioned;	1905157;6
commissions;	1905157;18
committed;	203434;2
commoner;	203434;2
commonly;	203434;4
commonly;	82432;4
commonly;	7801357;2
commonly;	10996774;2
commonly;	850236;2
commonly;	710065;2
commonly;	1905157;2
commonly;	7611264;2
commonly;	11025703;2
commonplace;	1905157;2
communication;	7611264;2
comparable;	13879359;2
comparatively;	710065;2
comparatively;	1905157;2
compartment;	710065;4
compatible;	13879359;2
compensation;	7611264;2
competitionformer;	2289;2
competitions;	2289;2
compilations;	13286072;2
complement;	82432;2
completely;	710065;6
completing;	13286072;2
completion;	7801357;2
complex;	7003;12
complex;	7611264;12
complex;	7801357;2
complex;	1905157;2
components;	7611264;10
components;	82432;6
components;	7003;2
components;	710065;2
composed;	1905157;2
composition;	13286072;2
composition;	1905157;2
composition;	3558046;2
comprehensive;	7801357;2
computers;	7611264;2
computing;	7611264;4
computing;	7003;2
computing;	214427;2
con;	1905157;2
concealed;	82432;2
concentrated;	710065;4
concentrated;	7003;2
concept;	13286072;2
concept;	214427;2
concept;	710065;2
concept;	203434;2
conception;	710065;2
concert;	13286072;6
concert;	2300502;4
concert;	1905157;2
concubina;	203434;2
concubinage;	203434;20
concubine;	203434;44
conditional;	7003;2
conditions;	10996774;6
conditions;	7801357;2
conditions;	82432;2
conduct;	850236;2
conduction;	850236;2
conduction;	214427;2
conference;	82432;4
conference;	214427;2
configuration;	7801357;2
confirm;	203434;2
confusion;	82432;4
confusion;	1905157;2
congenital;	10996774;4
congenital;	82432;4
congested;	7801357;2
congress;	82432;6
conjecture;	1905157;2
conjunctiva;	82432;2
connecting;	1905157;2
connection;	7003;2
connection;	2300502;2
connection;	1905157;2
conquers;	1905157;2
consecutive;	82432;2
consequences;	1905157;2
consequences;	82432;2
considered;	203434;8
considered;	710065;6
considered;	3558046;6
considered;	82432;6
considered;	10996774;4
considered;	2289;2
considered;	11025703;2
considers;	203434;2
consisted;	13879359;2
consistent;	13286072;2
consistent;	850236;2
consists;	850236;2
consolidating;	9536040;2
constant;	7003;4
constructed;	7801357;4
constructed;	7003;2
constructed;	11025703;2
consulate;	7801357;18
consume;	13286072;2
contact;	7801357;6
contact;	850236;2
containing;	7801357;2
containing;	7003;2
containing;	13879359;2
containing;	850236;2
containing;	82432;2
contents;	82432;2
contesse;	10996774;2
continues;	9536040;2
continuing;	2289;2
continuously;	7611264;2
contract;	203434;4
contract;	710065;2
contract;	1905157;2
contract;	3558046;2
contractual;	2289;2
contrast;	10996774;2
contrast;	7611264;2
contrasting;	13286072;2
contributing;	13286072;4
contribution;	13879359;2
controlled;	7611264;6
controlled;	10996774;2
controller;	7611264;18
controlo;	7611264;2
controls;	7611264;2
convened;	1905157;2
conventional;	710065;2
conventional;	11025703;2
conventions;	1905157;2
conversion;	1905157;8
conversion;	10996774;2
converted;	710065;4
converted;	850236;2
convey;	1905157;2
convoy;	13879359;2
coochie;	2300502;2
cooled;	850236;4
cooler;	850236;6
cooper;	1905157;2
copas;	7003;2
cor;	2289;4
cord;	10996774;2
cormon;	203434;2
corners;	7801357;2
corpus;	3558046;2
correction;	7611264;2
corresponds;	7003;2
corridor;	7801357;2
corticosteroids;	10996774;2
cortisone;	10996774;2
cosima;	13286072;2
costa;	82432;4
costanzas;	1905157;6
counsellor;	3558046;2
counter;	1905157;6
counter;	710065;2
counterparts;	710065;2
counterstained;	10996774;2
countries;	82432;24
countries;	203434;2
countries;	11025703;2
country;	9536040;4
country;	13286072;4
country;	13879359;2
country;	3558046;2
counts;	82432;2
couple;	82432;2
coupled;	10996774;2
coupled;	13879359;2
coupled;	7611264;2
courses;	7611264;4
courted;	13286072;2
courtesan;	1905157;4
coverage;	9536040;2
covered;	13286072;4
coypel;	3558046;2
cream;	2300502;2
cream;	82432;2
create;	13879359;2
create;	2289;2
create;	11025703;2
created;	850236;4
created;	214427;2
created;	203434;2
creations;	1905157;2
creole;	203434;2
crevices;	82432;2
crews;	13879359;2
